"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage""Inbetriebnahmedatum der KWK-Anlage""Elektrische KWK-Leistung""Thermische Nutzleistung in kW"
"SEE903712985651";"531686";"In Betrieb";"Wind";"800";"800";"30.12.2015";"6.6.2019";"Rheinland-Pfalz";"55457";"Gensingen";"";"";"Gensingen";"Flur6: 366";"07339021";"49,909182";"7,946774";"";"";"Gensingen";"73";"53";"ENERCON GmbH";"E-53";"";"";"Horizontalläufer";"Windkraft an Land";"18.2.2021";"";"";"Windpark GmbH & Co. Gensingen KG";"ABR992912783426";"Volleinspeisung";"SGE930049315615";"EWR Netz GmbH (SNB969068596941)";"SNB969068596941";"Geprüft";"Mittelspannung";"SEL928255519606";"EEG990756102151";"E32954010000000000003615925000003";"30.12.2015";"";""""""""
"SEE935212488875";"1010322";"In Betrieb";"Wind";"3050";"3050";"15.10.2013";"7.6.2019";"Rheinland-Pfalz";"55232";"Alzey";"";"";"Dautenheim";"Flur 12 Nr. 27 / 28";"07331003";"49,729713";"8,15575";"";"";"WP_Dautenheim";"135,4";"101";"ENERCON GmbH";"E-101";"";"";"Horizontalläufer";"Windkraft an Land";"7.7.2021";"";"";"St Windkraft GmbH";"ABR931692227331";"Volleinspeisung";"SGE979065869474";"EWR Netz GmbH (SNB969068596941)";"SNB969068596941";"Geprüft";"Mittelspannung";"SEL939105197004";"EEG901727418904";"E32954010000000000003612200200001";"15.10.2013";"";""""""""
"SEE982111839581";"1010375";"In Betrieb";"Wind";"3050";"3050";"29.9.2013";"12.6.2019";"Rheinland-Pfalz";"67585";"Dorn-Dürkheim";"";"";"Wintersheim";"7, Flurstück: 21";"07339028";"49,777756";"8,307269";"";"";"Windpark Eimsheim";"135";"101";"ENERCON GmbH";"E-101";"";"";"Horizontalläufer";"Windkraft an Land";"21.9.2021";"";"";"Windpark Eimsheim-Wintersheim GmbH & Co. KG";"ABR968641572488";"Volleinspeisung";"SGE916492403383";"EWR Netz GmbH (SNB969068596941)";"SNB969068596941";"Geprüft";"Mittelspannung";"SEL936602739065";"EEG908923692473";"E32954010000000000003613500500001";"29.9.2013";"";""""""""
"SEE950051233387";"1010376";"In Betrieb";"Wind";"3050";"3050";"16.10.2013";"12.6.2019";"Rheinland-Pfalz";"67585";"Dorn-Dürkheim";"";"";"Wintersheim";"7, Flurstück : 43,45";"07339028";"49,774558";"8,307561";"";"";"Windpark Eimsheim";"135";"101";"ENERCON GmbH";"E-101";"";"";"Horizontalläufer";"Windkraft an Land";"21.9.2021";"";"";"Windpark Eimsheim-Wintersheim GmbH & Co. KG";"ABR968641572488";"Volleinspeisung";"SGE916492403383";"EWR Netz GmbH (SNB969068596941)";"SNB969068596941";"Geprüft";"Mittelspannung";"SEL936602739065";"EEG931814186218";"E32954010000000000003613500500002";"16.10.2013";"";""""""""
"SEE938319460379";"1010377";"In Betrieb";"Wind";"3050";"3050";"21.11.2013";"12.6.2019";"Rheinland-Pfalz";"67585";"Dorn-Dürkheim";"";"";"Wintersheim";"7, Flurstück: 36";"07339028";"49,773458";"8,302139";"";"";"Windpark Eimsheim";"135";"101";"ENERCON GmbH";"E-101";"";"";"Horizontalläufer";"Windkraft an Land";"21.9.2021";"";"";"Windpark Eimsheim-Wintersheim GmbH & Co. KG";"ABR968641572488";"Volleinspeisung";"SGE916492403383";"EWR Netz GmbH (SNB969068596941)";"SNB969068596941";"Geprüft";"Mittelspannung";"SEL936602739065";"EEG947643046920";"E32954010000000000003613500500003";"21.11.2013";"";""""""""
"SEE971531243528";"1010378";"In Betrieb";"Wind";"3050";"3050";"29.11.2013";"12.6.2019";"Rheinland-Pfalz";"67585";"Dorn-Dürkheim";"";"";"Wintersheim";"7, Flurstück : 1";"07339028";"49,778575";"8,300969";"";"";"Windpark Eimsheim";"135";"101";"ENERCON GmbH";"E-101";"";"";"Horizontalläufer";"Windkraft an Land";"21.9.2021";"";"";"Windpark Eimsheim-Wintersheim GmbH & Co. KG";"ABR968641572488";"Volleinspeisung";"SGE916492403383";"EWR Netz GmbH (SNB969068596941)";"SNB969068596941";"Geprüft";"Mittelspannung";"SEL936602739065";"EEG924757919074";"E32954010000000000003613500500004";"29.11.2013";"";""""""""
"SEE927950587712";"920163";"In Betrieb";"Wind";"2350";"2350";"7.10.2014";"12.6.2019";"Rheinland-Pfalz";"55469";"Nannhausen";"";"";"Nannhausen";"Flur 6, Flurstück 3/4";"07140100";"49,97783";"7,460806";"";"";"Faas";"138,8";"92";"ENERCON GmbH";"E-92";"";"";"Horizontalläufer";"Windkraft an Land";"22.11.2019";"";"";"Windpark GmbH & Co. Neustgewann KG";"ABR901965083414";"Volleinspeisung";"SGE945089237056";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL901226234982";"EEG964078329299";"E31238010000000000000031144895998";"7.10.2014";"";""""""""
"SEE928344303840";"920161";"In Betrieb";"Wind";"2350";"2350";"27.8.2014";"12.6.2019";"Rheinland-Pfalz";"55469";"Nannhausen";"";"";"Fronhofen";"Flur 5 / Flurstück 16";"07140100";"49,983707";"7,455666";"";"";"Faas";"138";"92";"ENERCON GmbH";"E-92";"";"";"Horizontalläufer";"Windkraft an Land";"22.11.2019";"";"";"Windpark GmbH & Co. Neustgewann KG";"ABR901965083414";"Volleinspeisung";"SGE945089237056";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL901226234982";"EEG990540696187";"E31238010000000000000031144896000";"27.8.2014";"";""""""""
"SEE912699727512";"920162";"In Betrieb";"Wind";"2350";"2350";"4.9.2014";"12.6.2019";"Rheinland-Pfalz";"55469";"Nannhausen";"";"";"Nannhausen";"Flur 6, Flurstück 6";"07140100";"49,981177";"7,462931";"";"";"Faas";"138";"92";"ENERCON GmbH";"E-92";"";"";"Horizontalläufer";"Windkraft an Land";"22.11.2019";"";"";"Windpark GmbH & Co. Neustgewann KG";"ABR901965083414";"Volleinspeisung";"SGE945089237056";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL901226234982";"EEG920081901006";"E31238010000000000000031144896001";"4.9.2014";"";""""""""
"SEE972380821493";"WEA 1";"In Betrieb";"Wind";"2400";"2400";"19.12.2014";"13.6.2019";"Rheinland-Pfalz";"56290";"Mörsdorf";"";"";"Mörsdorf";"Flur 35, Flurstück 4";"07140503";"50,119929";"7,314095";"";"";"";"141";"117";"Nordex Energy GmbH";"";"";"";"Horizontalläufer";"Windkraft an Land";"10.12.2019";"";"";"WP Mörsdorf Nord GmbH & Co. KG";"ABR971753152349";"";"SGE975885876203";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL927186857559";"EEG987829725003";"E31238010000000000000033032053555";"19.12.2014";"";""""""""
"SEE987490217869";"WEA 2";"In Betrieb";"Wind";"2400";"2400";"19.12.2014";"13.6.2019";"Rheinland-Pfalz";"56290";"Mörsdorf";"";"";"Mörsdorf";"2 28/2";"07140503";"50,119929";"7,314095";"";"";"";"141";"117";"Nordex Energy GmbH";"";"";"";"Horizontalläufer";"Windkraft an Land";"10.12.2019";"";"";"WP Mörsdorf Nord GmbH & Co. KG";"ABR971753152349";"";"SGE975885876203";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL927186857559";"EEG993242192858";"E31238010000000000000033032084131";"19.12.2014";"";""""""""
"SEE995551309323";"WEA 4";"In Betrieb";"Wind";"2400";"2400";"27.11.2014";"13.6.2019";"Rheinland-Pfalz";"56290";"Mörsdorf";"";"";"Mörsdorf";"Flur 35 Flurstück 29";"07140503";"50,115544";"7,321788";"";"";"";"141";"117";"";"";"";"";"Horizontalläufer";"Windkraft an Land";"10.12.2019";"";"";"WP Mörsdorf Nord GmbH & Co. KG";"ABR971753152349";"";"SGE975885876203";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL927186857559";"EEG946796059412";"E31238010000000000000033032084132";"27.11.2014";"";""""""""
"SEE932413766993";"WEA 5";"In Betrieb";"Wind";"2400";"2400";"11.11.2014";"13.6.2019";"Rheinland-Pfalz";"56290";"Mörsdorf";"";"";"Mörsdorf";"33 11, 12";"07140503";"50,113969";"7,32611";"";"";"";"141";"117";"Nordex Energy GmbH";"";"";"";"Horizontalläufer";"Windkraft an Land";"18.12.2021";"";"";"WP Mörsdorf Nord GmbH & Co. KG";"ABR971753152349";"";"SGE975885876203";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL927186857559";"EEG919140398321";"";"11.11.2014";"";""""""""
"SEE978556733270";"WEA 8";"In Betrieb";"Wind";"2400";"2400";"29.12.2014";"13.6.2019";"Rheinland-Pfalz";"56290";"Mörsdorf";"";"";"Mörsdorf";"Flur 34 Flurstück 7";"07140503";"50,110413";"7,319674";"";"";"WP Mörsdorf Nord GmbH & Co. KG";"141";"117";"Nordex Energy GmbH";"N117/2400";"";"";"Horizontalläufer";"Windkraft an Land";"10.12.2019";"";"";"WP Mörsdorf Nord GmbH & Co. KG";"ABR971753152349";"";"SGE975885876203";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL927186857559";"EEG962505648685";"E31238010000000000000033032084134";"29.12.2014";"";""""""""
"SEE931224867783";"WEA 9";"In Betrieb";"Wind";"2400";"2400";"23.1.2015";"13.6.2019";"Rheinland-Pfalz";"56290";"Mörsdorf";"";"";"Mörsdorf";"Flur 34 Flurstück 6";"07140503";"50,108974";"7,324647";"";"";"";"141";"117";"Nordex Energy GmbH";"N117/2400";"";"";"Horizontalläufer";"Windkraft an Land";"8.1.2020";"";"";"WP Mörsdorf Nord GmbH & Co. KG";"ABR971753152349";"";"SGE975885876203";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL927186857559";"EEG949329452797";"E31238010000000000000033032084135";"23.1.2015";"";""""""""
"SEE934108975215";"WEA 10";"In Betrieb";"Wind";"2400";"2400";"5.11.2014";"13.6.2019";"Rheinland-Pfalz";"56290";"Mörsdorf";"";"";"Mörsdorf";"Flur 32 Flurstück 5,67/4";"07140503";"50,109348";"7,331292";"";"";"WP Mörsdorf GmbH & Co. KG";"141";"117";"";"";"";"";"Horizontalläufer";"Windkraft an Land";"27.11.2019";"";"";"WP Mörsdorf Nord GmbH & Co. KG";"ABR971753152349";"";"SGE975885876203";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL927186857559";"EEG957485997748";"E31238010000000000000033032084136";"5.11.2014";"";""""""""
"SEE997259228869";"WEA 11";"In Betrieb";"Wind";"2400";"2400";"22.1.2015";"13.6.2019";"Rheinland-Pfalz";"56290";"Mörsdorf";"";"";"Mörsdorf";"Flur 30 Flurstück 30, 31";"07140503";"50,10279";"7,324933";"";"";"";"141";"117";"Nordex Energy GmbH";"";"";"";"Horizontalläufer";"Windkraft an Land";"10.12.2019";"";"";"WP Mörsdorf Nord GmbH & Co. KG";"ABR971753152349";"";"SGE975885876203";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL927186857559";"EEG920391716864";"E31238010000000000000033032084137";"22.1.2015";"";""""""""
"SEE957571508902";"WKA Matzerath";"In Betrieb";"Wind";"3050";"3050";"31.3.2017";"14.6.2019";"Rheinland-Pfalz";"54597";"Matzerath";"";"";"Matzerath";"Flur 2, Nr. 25/2, 25/3";"07232262";"50,142";"6,402";"";"";"HardtStrom";"149";"101";"ENERCON GmbH";"E-101";"";"";"Horizontalläufer";"Windkraft an Land";"12.8.2019";"";"";"HardtStrom GmbH & Co. KG";"ABR901797541779";"Volleinspeisung";"SGE908865336992";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL953702129824";"EEG932092501441";"E3123801W000000000004939660117927";"31.3.2017";"";""""""""
"SEE982802265613";"826755";"In Betrieb";"Wind";"2300";"2300";"8.11.2016";"14.6.2019";"Rheinland-Pfalz";"55483";"Unzenberg";"";"";"Unzenberg";"Flur 1, Flurstück 53/1";"07140154";"49,981083";"7,431074";"";"";"Faas";"138";"82";"ENERCON GmbH";"E-82 E2 TES";"";"";"Horizontalläufer";"Windkraft an Land";"22.11.2019";"";"";"Windpark GmbH & Co. Heinzenbach-Unzenberg KG";"ABR929310204727";"Volleinspeisung";"SGE936966929140";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL901226234982";"EEG922041381538";"E3123801W000000000003114481216530";"8.11.2016";"";""""""""
"SEE948078036753";"1150467";"In Betrieb";"Wind";"3000";"3000";"4.1.2017";"14.6.2019";"Rheinland-Pfalz";"55483";"Heinzenbach";"";"";"Heinzenbach";"Flur 7, Flurstück 33/1";"07140049";"49,981816";"7,422137";"";"";"Faas";"135";"115";"ENERCON GmbH";"E-115";"";"";"Horizontalläufer";"Windkraft an Land";"22.11.2019";"";"";"Windpark GmbH & Co. Heinzenbach-Unzenberg KG";"ABR929310204727";"Volleinspeisung";"SGE936966929140";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL901226234982";"EEG917546474489";"E3123801W000000000003114481216531";"4.1.2017";"";""""""""
"SEE974154242091";"Windpark Kindenheim Anlage 1";"In Betrieb";"Wind";"2780";"2780";"25.1.2017";"17.6.2019";"Rheinland-Pfalz";"67271";"Kindenheim";"";"";"Kindenheim";"Flur 4892, 4893";"07332029";"49,619108";"8,149617";"";"";"Windpark Kindenheim";"139";"120";"GE Wind Energy GmbH";"GE 2.75-120";"";"";"Horizontalläufer";"Windkraft an Land";"28.6.2021";"";"";"Pfalzwerke Neue Energie Rhein-Haardt GmbH & Co. KG";"ABR921870793161";"Volleinspeisung";"SGE915138709131";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL998650862669";"EEG905579475290";"E3025401WEA0004100035420000014294";"25.1.2017";"";""""""""
"SEE974518025667";"Windpark Kindenheim Anlage 2";"In Betrieb";"Wind";"2780";"2780";"27.1.2017";"17.6.2019";"Rheinland-Pfalz";"67271";"Kindenheim";"";"";"Kindenheim";"4942";"07332029";"49,621477";"8,156454";"";"";"Windpark Kindenheim";"139";"120";"GE Wind Energy GmbH";"GE 2.75-120";"";"";"Horizontalläufer";"Windkraft an Land";"28.6.2021";"";"";"Pfalzwerke Neue Energie Rhein-Haardt GmbH & Co. KG";"ABR921870793161";"Volleinspeisung";"SGE915138709131";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL998650862669";"EEG926239105616";"E3025401WEA0004100035420000014295";"27.1.2017";"";""""""""
"SEE965752078960";"WKA Illerich";"In Betrieb";"Wind";"2300";"2300";"15.8.2014";"17.6.2019";"Rheinland-Pfalz";"56814";"Illerich";"";"";"Illerich";"2;1/6";"07135042";"50,213285";"7,173052";"";"";"WKA Illerich";"138,38";"82";"ENERCON GmbH";"Enercon E 82  2,3 MW";"";"";"Horizontalläufer";"Windkraft an Land";"8.1.2020";"";"";"Leskan Power GmbH & Co. KG";"ABR903356093538";"Volleinspeisung";"SGE912347147242";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL908634216043";"EEG901444019293";"E31238010000000000000032111456373";"15.8.2014";"";""""""""
"SEE940483250861";"WKA Kappel";"In Betrieb";"Wind";"800";"800";"12.6.2014";"18.6.2019";"Rheinland-Pfalz";"55483";"Kappel";"";"";"Kappel";"32:4,5";"07140062";"50,016615";"7,37525";"";"";"WKA Kappel";"73";"53";"ENERCON GmbH";"Enercon E 53";"";"";"Horizontalläufer";"Windkraft an Land";"25.5.2020";"";"";"Leskan Power GmbH & Co. KG";"ABR903356093538";"Volleinspeisung";"SGE929647684391";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL991006027729";"EEG988043611226";"";"12.6.2014";"";""""""""
"SEE978762925414";"Windpark Göllheim Anlage 2";"In Betrieb";"Wind";"2750";"2750";"4.9.2014";"17.6.2019";"Rheinland-Pfalz";"67307";"Göllheim";"";"";"Göllheim";"4759";"07333026";"49,571299";"7,982149";"";"";"Windpark Göllheim";"139";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"Horizontalläufer";"Windkraft an Land";"28.6.2021";"";"";"Pfalzwerke Neue Energie Göllheim GmbH & Co. KG";"ABR939761995266";"Volleinspeisung";"SGE995018282541";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL912821373839";"EEG943310789763";"E30254010WEA2GOLLWALD00FLUR475902";"4.9.2014";"";""""""""
"SEE959875977347";"K 100 Winterborn";"In Betrieb";"Wind";"2500";"2500";"19.1.2012";"17.6.2019";"Rheinland-Pfalz";"67822";"Winterborn";"";"";"Winterborn";"Flur 11, Flurstück 46-47";"07333083";"49,753703";"7,868596";"";"";"Winterborn";"135";"100";"Kenersys Europe GmbH";"K-100-2.5";"";"";"Horizontalläufer";"Windkraft an Land";"10.12.2020";"";"";"STRUWI GmbH & Co. KG";"ABR962427962715";"Volleinspeisung";"SGE903401016635";"Stadtwerke GmbH Bad Kreuznach (SNB985431470335)";"SNB985431470335";"Geprüft";"Mittelspannung";"SEL937825373975";"EEG986700182690";"E32954010000000000003615001015600";"19.1.2012";"";""""""""
"SEE961020781532";"Windpark Göllheim Anlage 3";"In Betrieb";"Wind";"2750";"2750";"11.9.2014";"18.6.2019";"Rheinland-Pfalz";"67307";"Göllheim";"";"";"Göllheim";"4758";"07333026";"49,573993";"7,97977";"";"";"Windpark Göllheim";"139";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"Horizontalläufer";"Windkraft an Land";"28.6.2021";"";"";"Pfalzwerke Neue Energie Göllheim GmbH & Co. KG";"ABR939761995266";"Volleinspeisung";"SGE995018282541";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL912821373839";"EEG918225501649";"E30254010WEA2GOLLWALD00FLUR475903";"11.9.2014";"";""""""""
"SEE917124058155";"Windpark Göllheim Anlage 4";"In Betrieb";"Wind";"2750";"2750";"13.9.2014";"18.6.2019";"Rheinland-Pfalz";"67307";"Göllheim";"";"";"Göllheim";"4763/3";"07333026";"49,576934";"7,976805";"";"";"Windpark Göllheim";"139";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"Horizontalläufer";"Windkraft an Land";"28.6.2021";"";"";"Pfalzwerke Neue Energie Göllheim GmbH & Co. KG";"ABR939761995266";"Volleinspeisung";"SGE995018282541";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL912821373839";"EEG978460673952";"E30254010WEA2GOLLWALD00FLUR476304";"13.9.2014";"";""""""""
"SEE964482006168";"Windpark Göllheim Anlage 5";"In Betrieb";"Wind";"2750";"2750";"23.9.2014";"18.6.2019";"Rheinland-Pfalz";"67307";"Göllheim";"";"";"Göllheim";"4763/3";"07333026";"49,578424";"7,972446";"";"";"Windpark Göllheim";"139";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"Horizontalläufer";"Windkraft an Land";"28.6.2021";"";"";"Pfalzwerke Neue Energie Göllheim GmbH & Co. KG";"ABR939761995266";"Volleinspeisung";"SGE995018282541";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL912821373839";"EEG947915200180";"E30254010WEA2GOLLWALD00FLUR476305";"23.9.2014";"";""""""""
"SEE906926403706";"Unkenbach-300161";"In Betrieb";"Wind";"3370";"3370";"30.12.2012";"19.6.2019";"Rheinland-Pfalz";"67823";"Unkenbach";"";"";"Unkenbach";"1420/4, 1420/5";"07333078";"49,7202";"7,727777";"";"";"Unkenbach";"128";"104";"Senvion Deutschland GmbH";"RE3.4M104";"";"";"Horizontalläufer";"Windkraft an Land";"30.8.2019";"";"";"Zweibach WEA GmbH & Co. KG";"ABR930573064270";"Volleinspeisung";"SGE970299679686";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL926654457062";"EEG918195714353";"E3123801V000000000000027838566396";"30.12.2012";"";""""""""
"SEE987082659800";"Unkenbach-300163";"In Betrieb";"Wind";"3370";"3370";"17.1.2013";"19.6.2019";"Rheinland-Pfalz";"67823";"Unkenbach";"";"";"Unkenbach";"1403, 1404";"07333078";"49,71652";"7,724155";"";"";"Unkenbach";"128";"104";"Senvion Deutschland GmbH";"RE3.4M104";"";"";"Horizontalläufer";"Windkraft an Land";"8.1.2020";"";"";"Zweibach WEA GmbH & Co. KG";"ABR930573064270";"Volleinspeisung";"SGE970299679686";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL926654457062";"EEG930615733942";"E3123801V000000000000027838466394";"17.1.2013";"";""""""""
"SEE971813982893";"Windpark Göllheim Anlage 6";"In Betrieb";"Wind";"2750";"2750";"23.9.2014";"19.6.2019";"Rheinland-Pfalz";"67307";"Göllheim";"";"";"Göllheim";"4759";"07333026";"49,571669";"7,988501";"";"";"Windpark Göllheim";"139";"120";"GE Wind Energy GmbH";"GE 2.5-120";"";"";"Horizontalläufer";"Windkraft an Land";"28.6.2021";"";"";"Pfalzwerke Neue Energie Göllheim GmbH & Co. KG";"ABR939761995266";"Volleinspeisung";"SGE995018282541";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL912821373839";"EEG908132134207";"E30254010WEA2GOLLWALD00FLUR474306";"23.9.2014";"";""""""""
"SEE920460466560";"WP Kandrich 10029 100094";"In Betrieb";"Wind";"3050";"3050";"9.5.2014";"19.6.2019";"Rheinland-Pfalz";"55442";"Daxweiler";"";"";"Daxweiler";"Flur 1 Flurstück 2";"07133023";"49,999055";"7,736063";"";"";"WP Kandrich";"135,4";"101";"ENERCON GmbH";"E-101";"";"";"Horizontalläufer";"Windkraft an Land";"9.6.2021";"";"";"Windpark Kandrich GmbH & Co. KG";"ABR932112604855";"Volleinspeisung";"SGE914209154672";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL924440652363";"EEG992844167967";"E31238010000000000000021070193150";"9.5.2014";"";""""""""
"SEE906633581407";"Nußbach-1010015";"In Betrieb";"Wind";"3050";"3050";"15.5.2012";"19.6.2019";"Rheinland-Pfalz";"67759";"Nußbach";"";"";"Nußbach";"Roßberg 1381";"07336069";"49,65111";"7,70785";"";"";"Nußbach";"135,4";"101";"ENERCON GmbH";"E-101";"";"";"Horizontalläufer";"Windkraft an Land";"19.6.2019";"";"";"Zweibach WEA GmbH & Co. KG";"ABR930573064270";"Volleinspeisung";"SGE902256196240";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Hochspannung";"SEL977343922835";"EEG912794329741";"E3025401WEA0005000060110000004636";"15.5.2012";"";""""""""
"SEE948193416577";"FAL BIS WEA02";"In Betrieb";"Wind";"3000";"3000";"26.9.2018";"20.6.2019";"Rheinland-Pfalz";"66885";"Altenglan";"";"";"Patersbach";"Flur0, Flurstück1072";"07336003";"49,554773";"7,431559";"";"";"Windpark Fahlenberg";"149";"116";"ENERCON GmbH";"E-115";"";"";"Horizontalläufer";"Windkraft an Land";"18.6.2021";"";"";"EWI Fahlenberg GmbH & Co. KG";"ABR938037960670";"Volleinspeisung";"SGE926868259278";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL999299053449";"EEG975943106242";"E3025401WEA0004100037210000015494";"26.9.2018";"";""""""""
"SEE988838549796";"Ranzenkopf 1151002 (SF15)";"In Betrieb";"Wind";"3000";"3000";"27.3.2018";"21.6.2019";"Rheinland-Pfalz";"54497";"Morbach";"";"";"Haag";"Flur 14, Flurstück 56/11";"07231087";"49,832835";"7,025361";"";"";"WP Am Ranzenkopf";"149";"115";"ENERCON GmbH";"E-115";"";"";"Horizontalläufer";"Windkraft an Land";"16.6.2021";"";"";"Windpark am Ranzenkopf GmbH & Co. KG";"ABR919909353844";"Volleinspeisung";"SGE926757726829";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung";"SEL920902158961";"EEG953524981754";"E3123801W000000000005515501221223";"27.3.2018";"";""""""""
"SEE957548377166";"Ranzenkopf 1150994 (SF13)";"In Betrieb";"Wind";"3000";"3000";"11.5.2018";"21.6.2019";"Rheinland-Pfalz";"54497";"Morbach";"";"";"Haag";"Flur 14, Flurstück 56/11";"07231087";"49,827564";"7,020625";"";"";"WP Am Ranzenkopf";"149";"115";"ENERCON GmbH";"E-115";"";"";"Horizontalläufer";"Windkraft an Land";"16.6.2021";"";"";"Windpark am Ranzenkopf GmbH & Co. KG";"ABR919909353844";"Volleinspeisung";"SGE926757726829";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung";"SEL920902158961";"EEG997341281987";"E3123801W000000000005515501204559";"11.5.2018";"";""""""""
